codice,titolo,dataInizio,dataFine,creatore
362,Machine Learning Base- Parte I,2025-07-31,2026-10-04,silvia_rosati2
363,Statistica Applicata- Parte I,2025-07-27,2026-12-15,sara_corti
364,Calcolo Integrale- Parte I,2025-12-21,2027-02-07,alberto_benedetti
365,Topologia- Parte I,2027-02-09,2027-05-25,alberto_benedetti
366,Teoria dei Giochi- Parte I,2026-03-24,2027-03-10,alberto_benedetti
367,Storia della Filosofia- Parte I,2025-01-28,2025-06-16,alberto_benedetti
368,Epistemologia- Parte I,2026-05-16,2027-02-01,alberto_benedetti
369,Etica e Morale- Parte I,2027-04-04,2027-06-25,miriam_lodi
370,Teologia Comparata- Parte I,2026-05-18,2026-12-13,miriam_lodi
371,Archeologia Classica- Parte I,2025-04-19,2025-08-18,miriam_lodi
372,Numismatica- Parte I,2025-02-27,2025-04-17,miriam_lodi
373,Filologia Romanza- Parte I,2025-03-04,2025-07-03,jessica_monti
374,Storia dell'Impero Romano- Parte I,2025-12-29,2027-05-09,jessica_monti
375,La Grande Guerra- Parte I,2026-11-16,2027-05-05,jessica_monti
376,Storia della Seconda Guerra Mondiale- Parte I,2025-08-05,2027-01-22,cinzia_palermo
377,Geopolitica Contemporanea- Parte I,2025-07-15,2026-09-18,cinzia_palermo
378,Relazioni Internazionali- Parte I,2026-09-10,2027-02-19,cinzia_palermo
379,Storia dell'Asia- Parte I,2025-03-21,2025-04-05,cinzia_palermo
380,Cultura Africana- Parte I,2026-02-27,2027-05-25,cinzia_palermo
381,Musica Jazz- Parte I,2025-12-13,2027-04-15,luca_bruni
382,Opera Lirica Italiana- Parte I,2026-04-10,2027-06-11,luca_bruni
383,Storia del Rock- Parte I,2026-05-19,2027-04-18,valentina_fabbri
384,Pittura Impressionista- Parte I,2025-12-22,2027-01-18,silvia_bassi
385,Scultura Classica- Parte I,2026-02-05,2026-11-03,silvia_bassi
386,Architettura Moderna- Parte I,2025-10-05,2027-01-13,sofia_casini
387,Design Industriale- Parte I,2026-08-28,2026-11-10,sofia_casini
388,Fotografia- Parte I,2024-03-08,2024-07-07,silvia_fabbri
389,Storia del Cinema- Parte I,2025-08-18,2026-11-22,silvia_fabbri
390,Letteratura Latino-Americana- Parte I,2026-03-31,2027-02-11,chiara_rinaldi
391,Poesia del '900- Parte I,2027-06-13,2027-09-09,chiara_rinaldi
392,Il Romanzo Moderno- Parte I,2024-06-08,2024-07-01,jessica_mele
393,Narrativa Contemporanea- Parte I,2026-01-30,2026-11-29,jessica_mele
394,Graphic Novel- Parte I,2027-06-28,2027-12-15,jessica_mele
395,Fumetto Italiano- Parte I,2026-03-17,2026-09-08,lorenzo_quaranta
396,Videogame e Cultura Pop- Parte I,2025-10-18,2026-07-12,lorenzo_quaranta
397,Gastronomia Internazionale- Parte I,2025-09-07,2027-01-03,lorenzo_quaranta
398,Storia del Vino- Parte I,2025-09-18,2026-09-03,alessio_carbone
399,Enologia Italiana- Parte I,2026-03-08,2026-03-31,alessio_carbone
400,Barista e Caffetteria- Parte I,2025-10-25,2027-03-25,alessio_carbone
401,Sommelier Base- Parte I,2026-04-24,2026-12-08,sofia_cattaneo
402,Sport Invernali- Parte I,2024-11-18,2025-03-24,stefano_salvi2
403,Sport Nautici- Parte I,2025-06-01,2025-07-10,stefano_salvi2
404,Atletica Leggera- Parte I,2027-04-07,2027-09-24,stefano_salvi2
405,Storia del Calcio- Parte I,2025-10-13,2026-07-27,davide_martinelli
406,Regole del Basketball- Parte I,2026-04-06,2026-12-11,elena_conte
407,Tennis e Grand Slam- Parte I,2026-10-22,2027-01-25,elena_conte
408,Formula 1 e Motorsport- Parte I,2027-03-21,2027-06-08,elena_conte
409,Moto GP- Parte I,2024-09-24,2024-12-10,alberto_benedetti2
410,Ciclismo e Tour de France- Parte I,2026-01-23,2027-05-09,alberto_benedetti2
411,Scacchi- Parte I,2025-10-13,2027-05-23,alberto_benedetti2
412,Bridge e Giochi di Carte- Parte I,2025-09-03,2026-09-15,pietro_salvi
413,Poker Teorico- Parte I,2026-12-18,2027-05-18,pietro_santoro2
414,Danza Classica- Parte I,2026-06-13,2026-08-09,pietro_santoro2
415,Teatro e Drammaturgia- Parte I,2025-08-03,2027-04-20,pietro_santoro2
416,Circo e Arti Performative- Parte I,2026-03-12,2027-04-17,francesco_sala
417,Storia dell'Antica Grecia- Parte II,2025-08-04,2026-07-14,francesco_sala
418,Chimica Organica Base- Parte II,2025-08-10,2027-04-04,francesco_sala
419,Fisica Newtoniana- Parte II,2026-01-24,2027-03-03,francesco_sala
420,Letteratura del '900- Parte II,2025-11-07,2026-08-05,silvia_negri
421,Matematica Finanziaria- Parte II,2025-09-20,2026-01-17,silvia_negri
422,Biologia Cellulare- Parte II,2025-11-02,2026-10-11,tomaso_ferrara
423,Geografia Europea- Parte II,2026-04-15,2026-12-06,tomaso_ferrara
424,Astronomia e Cosmologia- Parte II,2026-12-09,2027-03-14,tomaso_ferrara
425,Lingue Neolatine- Parte II,2026-09-03,2026-12-13,tomaso_ferrara
426,Arte Medievale- Parte II,2026-05-04,2026-12-09,tomaso_ferrara
427,Cinema d'Autore- Parte II,2026-04-16,2026-08-17,miriam_palma
428,Cucina Regionale Italiana- Parte II,2025-12-13,2027-05-10,miriam_palma
429,Informatica di Base- Parte II,2026-04-07,2026-12-13,maria_bruni
430,Diritto Costituzionale- Parte II,2026-12-06,2027-01-30,maria_bruni
431,Economia Aziendale- Parte II,2024-09-17,2025-02-02,maria_bruni
432,Storia della Musica- Parte II,2026-05-12,2027-01-16,simone_longo
433,Filosofia Greca- Parte II,2026-02-24,2026-10-17,simone_longo
434,Anatomia Umana- Parte II,2026-06-03,2026-07-24,simone_longo
435,Ecologia e Ambiente- Parte II,2027-06-08,2027-10-13,valentina_celli
436,Sport e Olimpiadi- Parte II,2026-06-23,2026-08-23,valentina_celli
437,Psicologia Cognitiva- Parte II,2026-02-12,2027-01-02,flavio_longo
438,Sociologia Urbana- Parte II,2025-05-31,2025-06-18,flavio_longo
439,Storia del Rinascimento- Parte II,2025-09-09,2027-04-12,flavio_longo
440,Letteratura Inglese- Parte II,2025-09-17,2026-11-23,flavio_longo
441,Matematica Discreta- Parte II,2025-04-01,2025-09-14,laura_rinaldi2
442,Reti di Computer- Parte II,2026-01-18,2026-02-26,laura_rinaldi2
443,Algoritmi e Strutture Dati- Parte II,2027-01-16,2027-04-28,laura_rinaldi2
444,Marketing Digitale- Parte II,2025-02-16,2025-07-15,laura_rinaldi2
445,Gestione Aziendale- Parte II,2026-09-10,2026-11-06,giada_rosati
446,Storia dell'Arte Moderna- Parte II,2024-12-28,2025-05-12,giada_rosati
447,Fisica Quantistica- Parte II,2026-06-08,2026-09-07,giada_rosati
448,Chimica Inorganica- Parte II,2026-04-12,2027-05-05,federica_fabbri
449,Biologia Marina- Parte II,2026-12-09,2027-01-26,silvia_pisano
450,Geologia e Vulcani- Parte II,2025-08-16,2026-11-29,silvia_pisano
451,Meteorologia- Parte II,2025-10-11,2027-03-16,silvia_pisano
452,Linguistica Italiana- Parte II,2025-06-30,2027-04-13,cinzia_negri
453,Numeri e Crittografia- Parte II,2025-07-18,2026-08-24,carmine_gentile
454,Mitologia Greca e Romana- Parte II,2027-04-23,2027-07-17,giorgio_alfano
455,Storia Medievale- Parte II,2024-02-06,2024-07-23,giorgio_alfano
456,Cultura Asiatica- Parte II,2025-10-28,2026-11-11,giorgio_alfano
457,Letteratura Russa- Parte II,2027-04-21,2027-09-22,giorgio_alfano
458,Economia Globale- Parte II,2026-06-01,2027-04-23,giorgio_alfano
459,Zoologia- Parte II,2025-04-20,2025-06-03,marco_alfano
460,Botanica- Parte II,2026-10-31,2026-11-15,marco_alfano
461,Farmacologia Base- Parte II,2025-11-14,2026-12-06,flavio_pisano
462,Diritto Internazionale- Parte II,2025-10-14,2027-05-08,giorgio_rosati
463,Storia della Tecnologia- Parte II,2026-07-30,2026-09-10,giulia_gentile
464,Robotica- Parte II,2025-09-13,2026-12-12,giulia_gentile
465,Intelligenza Artificiale- Parte II,2027-02-28,2027-07-19,giulia_gentile
466,Machine Learning Base- Parte II,2025-09-28,2026-12-21,anna_ferrara
467,Statistica Applicata- Parte II,2025-07-16,2027-06-12,anna_ferrara
468,Calcolo Integrale- Parte II,2024-05-05,2024-07-18,anna_ferrara
469,Topologia- Parte II,2025-10-04,2025-12-13,anna_ferrara
470,Teoria dei Giochi- Parte II,2026-01-26,2026-10-22,anna_ferrara
471,Storia della Filosofia- Parte II,2024-05-07,2024-07-06,noemi_de_marco
472,Epistemologia- Parte II,2024-11-16,2025-02-12,noemi_de_marco
473,Etica e Morale- Parte II,2025-09-14,2026-11-16,noemi_de_marco
474,Teologia Comparata- Parte II,2025-09-07,2027-06-10,noemi_de_marco
475,Archeologia Classica- Parte II,2025-12-07,2026-12-22,noemi_de_marco
476,Numismatica- Parte II,2026-01-31,2026-08-08,ivan_de_luca
477,Filologia Romanza- Parte II,2025-11-13,2027-05-30,ivan_de_luca
478,Storia dell'Impero Romano- Parte II,2025-10-25,2026-10-16,ivan_de_luca
479,La Grande Guerra- Parte II,2025-09-25,2026-11-14,ivan_de_luca
480,Storia della Seconda Guerra Mondiale- Parte II,2027-06-20,2027-09-04,ivan_de_luca
481,Geopolitica Contemporanea- Parte II,2025-08-16,2027-04-25,laura_angeli
482,Relazioni Internazionali- Parte II,2026-10-22,2027-04-10,ivan_de_rosa
483,Storia dell'Asia- Parte II,2026-05-07,2027-01-26,ivan_de_rosa
484,Cultura Africana- Parte II,2025-10-29,2026-08-19,emanuele_grassi
485,Musica Jazz- Parte II,2026-01-30,2026-02-07,emanuele_grassi
486,Opera Lirica Italiana- Parte II,2025-07-28,2027-02-27,federica_sanna
487,Storia del Rock- Parte II,2026-03-17,2026-11-23,federica_sanna
488,Pittura Impressionista- Parte II,2025-08-01,2026-07-29,federica_sanna
489,Scultura Classica- Parte II,2026-08-13,2027-02-02,federica_sanna
490,Architettura Moderna- Parte II,2025-09-27,2026-07-18,federica_sanna
491,Design Industriale- Parte II,2026-09-26,2027-01-17,claudia_guida
492,Fotografia- Parte II,2027-01-18,2027-05-31,giulia_biffi
493,Storia del Cinema- Parte II,2026-01-30,2026-07-18,giulia_biffi
494,Letteratura Latino-Americana- Parte II,2025-09-10,2027-05-03,giulia_biffi
495,Poesia del '900- Parte II,2026-01-07,2026-11-21,ernesto_riva
496,Il Romanzo Moderno- Parte II,2026-04-20,2027-03-14,claudia_napoli
497,Narrativa Contemporanea- Parte II,2026-03-21,2026-08-25,claudia_napoli
498,Graphic Novel- Parte II,2025-11-05,2027-05-26,claudia_napoli
499,Fumetto Italiano- Parte II,2025-03-30,2025-08-29,elena_grassi
500,Videogame e Cultura Pop- Parte II,2025-10-22,2025-12-12,elena_grassi
501,Gastronomia Internazionale- Parte II,2024-05-24,2024-09-11,francesco_quaranta
502,Storia del Vino- Parte II,2027-03-19,2027-06-17,francesco_quaranta
503,Enologia Italiana- Parte II,2025-07-20,2026-08-16,francesco_quaranta
504,Barista e Caffetteria- Parte II,2026-02-20,2026-07-02,nicola_quaranta
505,Sommelier Base- Parte II,2026-02-27,2027-02-12,nicola_quaranta
506,Sport Invernali- Parte II,2025-05-02,2025-07-25,davide_fabbri
507,Sport Nautici- Parte II,2025-09-07,2026-07-04,davide_fabbri
508,Atletica Leggera- Parte II,2025-12-25,2027-06-18,davide_fabbri
509,Storia del Calcio- Parte II,2026-04-07,2027-01-22,serena_colombi
510,Regole del Basketball- Parte II,2024-04-12,2024-07-07,serena_colombi
511,Tennis e Grand Slam- Parte II,2024-06-21,2024-09-11,laura_fazio
512,Formula 1 e Motorsport- Parte II,2026-03-06,2026-10-19,laura_fazio
513,Moto GP- Parte II,2027-02-28,2027-04-15,laura_fazio
514,Ciclismo e Tour de France- Parte II,2025-08-21,2027-01-06,laura_fazio
515,Scacchi- Parte II,2025-09-25,2027-06-04,francesco_pagano
516,Bridge e Giochi di Carte- Parte II,2026-11-02,2027-04-10,francesco_pagano
517,Poker Teorico- Parte II,2026-08-09,2026-12-28,francesco_pagano
518,Danza Classica- Parte II,2025-09-12,2026-08-25,sofia_longo
519,Teatro e Drammaturgia- Parte II,2025-09-20,2027-03-14,sofia_longo
520,Circo e Arti Performative- Parte II,2025-09-26,2026-09-13,sofia_longo
521,Storia dell'Antica Grecia- Test,2025-07-14,2026-10-12,jessica_colombi
522,Chimica Organica Base- Test,2025-01-13,2025-02-12,jessica_colombi
523,Fisica Newtoniana- Test,2027-02-12,2027-03-05,jessica_colombi
524,Letteratura del '900- Test,2025-10-08,2027-01-27,jessica_colombi
525,Matematica Finanziaria- Test,2026-05-29,2027-04-11,luca_rinaldo
526,Biologia Cellulare- Test,2026-01-21,2026-07-10,luca_rinaldo
527,Geografia Europea- Test,2026-06-26,2026-10-18,luca_rinaldo
528,Astronomia e Cosmologia- Test,2026-06-04,2027-01-31,luca_rinaldo
529,Lingue Neolatine- Test,2026-05-26,2027-04-02,luca_rinaldo
530,Arte Medievale- Test,2025-10-29,2026-07-15,giorgio_napoli
531,Cinema d'Autore- Test,2026-03-27,2026-09-06,giorgio_napoli
532,Cucina Regionale Italiana- Test,2024-05-13,2024-09-04,giorgio_napoli
533,Informatica di Base- Test,2025-12-14,2027-02-13,giorgio_napoli
534,Diritto Costituzionale- Test,2027-01-08,2027-04-21,giorgio_napoli
535,Economia Aziendale- Test,2025-07-24,2027-04-01,giada_amato
536,Storia della Musica- Test,2025-12-31,2026-08-28,giada_amato
537,Filosofia Greca- Test,2026-03-05,2026-06-30,sara_colombi
538,Anatomia Umana- Test,2025-04-23,2025-08-26,sara_colombi
539,Ecologia e Ambiente- Test,2024-08-24,2024-12-17,sara_colombi
540,Sport e Olimpiadi- Test,2026-03-02,2026-11-02,matteo_guida
541,Psicologia Cognitiva- Test,2026-04-09,2026-11-17,matteo_guida
542,Sociologia Urbana- Test,2026-05-01,2026-07-15,matteo_guida
543,Storia del Rinascimento- Test,2027-01-29,2027-07-12,matteo_guida
544,Letteratura Inglese- Test,2026-03-14,2026-08-02,cinzia_fazio
545,Matematica Discreta- Test,2026-06-10,2027-02-12,cinzia_fazio
546,Reti di Computer- Test,2026-06-05,2027-01-20,alessio_angeli
547,Algoritmi e Strutture Dati- Test,2026-03-20,2026-05-01,francesca_milani
548,Marketing Digitale- Test,2026-01-30,2026-10-26,francesca_milani
549,Gestione Aziendale- Test,2027-04-19,2027-07-16,francesca_milani
